Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Joint Health and Nutirtion Programme (JHNP) - 12,Provide salary support to core staff at central and regional level,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA/UNICEF,JHNP (Joint Health & Nutrition Programme),UNICEF,UN,0,676446,1138931,0,1815377,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,676446,0,0,0,0,0,0,0,0,1138931,0,0,0,0,0,0,0,0,0
Promoting Maternal and Child Health and Improved Nutrition in Somalia,"The provision of health care and advisory services for pregnant women, mothers, newborns and small children in the project regions is improved ",Oct-16,Sep-19,5. Social & Human Capital,Health,Nutrition,Germany,German Federal Government,GIZ,Bilateral Agency,8888889,0,194444,3111111,3305555,,Significant,Significant,Not targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194444,0,0,0,0,0,0,0,0,3111111
Measles Supplemental Immunization,Decrease morbidity and mortality in children,Jun-15,Dec-15,5. Social & Human Capital,Health,,WHO,Measles & Rubella Initiative,"MOH, WHO, UNICEF, NGO","Government, UN & NGOs",3200000,3200000,0,0,3200000,,Significant,Significant,Not targeted,,,,,,0.333333333,,0.333333333,0.333333333,0,0,0,0,0,1066667,0,1066667,1066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 16,CEmONC (and BEmONC if not covered by PCA) upgrade referral services etc,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,3401855,2383555,0,5785410,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,3401855,0,0,0,0,0,0,0,0,2383555,0,0,0,0,0,0,0,0,0
WASH,,,,5. Social & Human Capital,Health,,Norway,Norway,"Norwegian Church Aid, Norwegian People's Aid;, YME",NGOs,0,2283951,0,0,2283951,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,2283951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medical education and training; Red crescent Health clinics; Orthopedic rehabilitation; hospital in Kismayo, reproductive health",,,,5. Social & Human Capital,Health,,Norway,Norway,"Somalia Red Crescent, Norwegian Church Aid",NGOs,0,2592593,0,0,2592593,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,2592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Polio Eradication Initiative,Eradicate Polio,Jan-14,Dec-18,5. Social & Human Capital,Health,,WHO,WHO & GPEI,"MOH, WHO, UNICEF",Government & UN,0,15153824,17000000,15457897,47611721,,Significant,Significant,Not targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,15153824,0,0,0,0,0,0,0,0,17000000,0,0,0,0,0,0,0,0,15457897
Social acceptance of practices harmful to children in targeted locations reduced and improved access to services for GBV survivors,"Supports service delivery for women and children who have experienced violence, abuse or exploitation. Develops and establishes standards of care for mental health and psychosocial support, including establishing a social work force. Works with inter-ministerial body on changing harmful social norms related to sexual violence, including conducting a longitudinal research on social norms and sexual violence. Builds capacity across line ministries in line with the multi-sectoral approach to prevention and response to gender-based violence.",Jan-13,Dec-16,5. Social & Human Capital,GBV,Health,UNICEF,"UNICEF, OFDA, JAPAN, CIDA, SIDA, Netherlands, Swiss, Austria, UK Natcom","CCBRS,SAF TASS, GRT, GECPD, WAAPO, Baha Koob, HIWA, SEDHURO, SCWRW, ELMAN, OSPAD, INTERSOS, CISP, SFCC, SWDC, RI, MC",NGOs,15000000,2383000,4000000,3500000,9883000,,Principal,Significant,Not targeted,,0.4,0.05,0.05,0.05,0.2,0.1,0.15,,0,953200,119150,119150,119150,476600,238300,357450,0,0,1600000,200000,200000,200000,800000,400000,600000,0,0,1400000,175000,175000,175000,700000,350000,525000,0
Prevention of FGM,Prevention of FGM,Jan-16,Dec-18,5. Social & Human Capital,GBV,,Finland,Finland,"Candelight for Environment, Education and Health",NGOs,0,0,99037,0,99037,http://www.candlelightsomal.org/,Principal,Significant,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99037,0,0,0,0,0,0,0,0,0,0
Preventing violence towards women,Preventing violence towards women,Jan-16,Dec-18,5. Social & Human Capital,GBV,,Finland,Finland,SOYDAVO,NGOs,0,0,97206,0,97206,,Principal,Significant,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97206,0,0,0,0,0,0,0,0,0,0
Promoting FGM networking,Promoting FGM networking,Jan-16,Dec-18,5. Social & Human Capital,GBV,,Finland,Finland,NAFIS,NGOs,0,0,40502,0,40502,,Principal,Principal,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40502,0,0,0,0,0,0,0,0,0,0
Team of Experts' Support to the Government of Soamlia to Implement National Action Plan to Address Conflict-related Sexual Violence,"To assist Somalia in its efforts to implement the national action plan developed in 2014, through support to mechanisms vital to addressing impunity for sexual violence crimes. This includes essentially the provision of experts to help strengthen the capacity of the legal drafting unit in the Ministry of Justice, the Ministry of Women and Human Rights Development; the operationalization of a rapid response unit and specialized police units within the national police.",Mar-16,Feb-17,5. Social & Human Capital,GBV,,Japan,Japan,SRSG ToE,UN,500000,0,500000,0,500000,,Principal,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0
Somalia Program Support Services (SPSS),"SPSS conducts consistent, on-the-ground, performance monitoring and verification visits to USAID-funded activities, and reports to USAID technical staff to enable effective and efficient management. In addition, SPSS designs both performance and impact evaluations of individual activities, as well as quantitative and qualitative impact assessments of overall progress made toward achieving USAID’s goals.",Aug-14,Jul-19,7. Other,Enabling Activities,"Research, M&E",USA,USA,International Business & Technical Consultants Inc. (IBTCI),Private Sector,24000000,3935880,5042740,5272000,14250620,,Significant,Significant,Significant,0.24,0.2,0,0,0.35,0,0.15,0.06,,944611.2,787176,0,0,1377558,0,590382,236153,0,1210258,1008548,0,0,1764959,0,756411,302564,0,1265280,1054400,0,0,1845200,0,790800,316320,0
Third Party Monitoring & Evaluation - Somalia,"To carry out independent and objective monitoring and evaluation of EU funded projects in Somalia in order to enhance program quality, data analysis, baselines, accountability, effectiveness and capacity building services for the Ministry of Planning and International Cooperation (MOPIC), who will in the future be the National Authorising Office (NAO); including its Monitoring and Evaluation Department, concerned line ministries, as well as, key ministries from Somaliland.",Jul-16,Jul-17,7. Other,Enabling Activities,"Research, M&E",EU,EU,PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT,NGOs,1999556,0,666667,522222,1188889,,Significant,Significant,Not Targeted,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0,0,0,0,0,0,0,0,0,83333,83333,83333,83333,83333,83333,83333,83333,0,65278,65278,65278,65278,65278,65278,65278,65278,0
NGO Safety Programme,Provison of security information for NGOs for staff safety and continuity of activities,Jul-15,Sep-17,7. Other,Enabling Activities,,UK,DFID,International NGO Safety Organization (INSO),NGOs,1071429,214286,642857,214286,1071429,https://devtracker.dfid.gov.uk/projects/GB-1-203462 ,Not Targeted,Significant,Not Targeted,,,,,,0.5,,0.5,,0,0,0,0,0,107143,0,107143,0,0,0,0,0,0,321429,0,321429,0,0,0,0,0,0,107143,0,107143,0
Development of the SSF knowledge Management Framework e.g Office 365 &Sharepoint,Address the economic and social drivers of conflict and violent extremism,,,7. Other,Enabling Activities,"Research, M&E",SSF,Pooled,,Unclear / TBD,50000,0,0,50000,50000,,Principal,Significant,Principal,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
Stipends for external call evaluators,Services,Jan-15,May-16,7. Other,Enabling Activities,"Research, M&E",SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Various,Private Sector,4663,0,4663,0,4663,,Significant,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4663,0,0,0,0,0,0,0,0,0
Monitoring and evaluation,Address the economic and social drivers of conflict and violent extremism,,,7. Other,Enabling Activities,"Research, M&E",SSF,Pooled,,Unclear / TBD,474630,0,0,50000,50000,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
Field Offices in Somalia Programme 2016,Technical and operational support to development assistance to Somalia,Jan-16,Dec-16,7. Other,Enabling Activities,,EU,EU,SOOMAALIYA JUMHURIYYAT AS SUMAL,NGOs,2797109,0,1109341,0,1109341,,Not Targeted,Significant,Significant,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0,0,0,0,0,0,0,0,0,138668,138668,138668,138668,138668,138668,138668,138668,0,0,0,0,0,0,0,0,0,0
Local Operational Support Programme 2016,The aim of the programme estimate is to contribute to the quality of aid by reinforcing the operational capacity of the EU Somalia Delegation to meet its mandate and deliver key results in line with the priorities outlined in the Somali Compact and the National Indicative Programme (NIP) 2014-2020.,Jan-16,Dec-16,7. Other,Enabling Activities,,EU,EU,SOOMAALIYA JUMHURIYYAT AS SUMAL,NGOs,548209,0,316274,0,316274,,Not Targeted,Significant,Significant,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0,0,0,0,0,0,0,0,0,39534,39534,39534,39534,39534,39534,39534,39534,0,0,0,0,0,0,0,0,0,0
Finn Church Aid office support,"SOCO office PMER support for the country programme, no separate project funding, country office in Nairobi, project activities in Mogadishu, Baidoa and Somaliland",Jan-16,Dec-18,7. Other,Enabling Activities,FinnChurchAid office support,Finland,Finland,,NGOs,0,0,690278,0,690278,,Not Targeted,Not Targeted,,0.333333333,,,,,,0.333333333,0.333333333,,0,0,0,0,0,0,0,0,0,230093,0,0,0,0,0,230093,230093,0,0,0,0,0,0,0,0,0,0
JCC Verification exercise,Services,Dec-14,Sep-16,7. Other,Enabling Activities,"Research, M&E",SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Sahan,Academic / Research Institutions,22769,22769,22769,0,45538,,Significant,Principal,Significant,,,,,1,,,,,0,0,0,0,22769,0,0,0,0,0,0,0,0,22769,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research, Learning and Evaluation Unit - 2",Services,Jul-16,Jul-16,7. Other,Enabling Activities,"Research, M&E",SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Nicholai Lidow,Private Sector,59984,59983,59983,0,119966,,Significant,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,59983,0,0,0,0,0,0,0,0,59983,0,0,0,0,0,0,0,0,0
Other Program Design and Learning activities, Program Design and Learnig activities - meetings,,,7. Other,Enabling Activities,"Research, M&E",USA,,,Unclear / TBD,0,4109,31260,0,35369,,,,,0.24,0.2,,,0.35,0,0.15,0.06,,986.16,822,0,0,1438,0,616,247,0,7502,6252,0,0,10941,0,4689,1876,0,0,0,0,0,0,0,0,0,0
other supports,Payment to Somali employees and other local NGOs,Jan-15,Sep-15,7. Other,Enabling Activities,,Turkey (2015 data),Turkey,YARDIMELİ NGO,NGOs,120000,120000,0,0,120000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research, Learning and Evaluation Unit",Services,Nov-14,Aug-16,7. Other,Enabling Activities,"Research, M&E",SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",HIPS,Academic / Research Institutions,865910,0,420722,0,420722,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420722,0,0,0,0,0,0,0,0,0
Joint Programme on Enablers,"RCO: Output 1: Ensure the effective implementation of the ISF & New Deal Somali Compact Output 2: Improve the coherence and impact of the UN system in Somalia Output 3: Support effective international engagement in Somalia Output 4: Effective programme management RMU: Output 1: Enhanced collective risk management approaches Output 2: Increased information sharing, both within the UN and between the UN, government donors, and NGOs Output 3: Organizational risk management capabilities strengthened Output 4: Enhanced engagement for collective risk management solutions Output 5: Effective programme management UNDSS: Output 1: Security Aircraft capacity maintained Output 2: Medical Emergency Response Team capacitated Output 3: Enhanced Protected Security Output 4: Increased airport road security UN Women: Output 1: Side event organized at the High Level Partnership Forum in Istanbul in February 2015 with the view to ensuring donor commitments to UNSCR1325 on Women, Peace and Security and its subsequent resolutions Output 2: Strategic monitoring and results framework established at PSG, MPTF and country level output level on WPS Output 3: Establishment of a national platform for coordination on WPS supported Output 4: Support to the establishment of data collection and analytical capacity on gender issues within the Somali government institutions, resulting in the issuing of the State of the Somali Women and Men Report. Output 5: Revision of existing analytical work on the political economy of access to justice to include gender equality considerations and perspectives.  ",Sep-15,Aug-17,7. Other,Enabling Activities,,UN RCO,Sweden Germany Norway Denmark EU PBF ,UNDP,UN,6714206,2958210,2958210,797786,6714206,http://mptf.undp.org/document/download/15833,Significant,Significant,Not Targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,2958210,0,0,0,0,0,0,0,0,2958210,0,0,0,0,0,0,0,0,797786
Education In Sool and Sanaag,Improved equitable access to secondary education for pastoral students of Sool and Sanaag through the rehabilitation of two secondary education boarding facilities,Sep-15,Dec-17,5. Social & Human Capital,Education,"Infrastructure, Social Sector",Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Ministry of Education,Government,4608894,70308,881326,3657260,4608894,http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,70308,0,0,0,0,0,0,0,0,881326,0,0,0,0,0,0,0,0,3657260,0
Horumarinta Elmiga II (“Education for Empowerment through Cohesive and Harmonised System”),"Education plays a critical role in ensuring the developmental rights of children and young people and serves as a mean to achieve other rights and the overall development of a nation. The current gross enrolment level for Somaliland stands at 47%1 and educational access is much worse than the stated figures for children living in inaccessible locations, among Internally Displaced Populations (IDPs), pastoralists and girls in general.",Sep-15,Sep-18,5. Social & Human Capital,Education,,EU,EU,RED BARNET FORENING,NGOs,12222222,0,3333333,2235107,5568440,,Significant,Significant,Not Targeted,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333333,0,0,0,0,0,0,0,0,2235107,0
Waxbarashadu Waa Iftiin II - Education is light II,"This project will consolidate and expand the gains achieved through Waxbarashadu Waa Iftiin I. Waxbarashadu Waa Iftiin II has been formulated through extensive dialogue between the Ministry of Education and Higher Education (MoE&HE), consortium partners and the European Union (EU). This objective was set together with the EU and contributes to overarching EU strategy in which strengthened education plays a fundamental role in poverty alleviation, peace and security. This will be achieved through a strategic, sector wide programme that holistically addresses the key constraints that face Puntland learners in accessing quality educational services.",Sep-15,Mar-18,5. Social & Human Capital,Education,,EU,EU,STICHTING CARE NEDERLAND,NGOs,7777778,3495896,1888889,1615216,7000001,,Significant,Significant,Not Targeted,,,,,,1,,,,0,0,0,0,0,3495896,0,0,0,0,0,0,0,0,1888889,0,0,0,0,0,0,0,0,1615216,0,0,0
ELMIDOON “Seeking Knowledge” ENHANCED ACTION (ELENA),"The programme will consolidate and improve existing education opportunities and provide additional public quality primary and secondary education opportunities in 11 regions of Somalia (Banadir, Galmudug, Mudug, Bay, Bakool, Lower Shabelle, Middle Shabelle, Lower Jubba, Galgadud, Gedo and Hiraan). The Somalia Special Support Programme (SSSP) highlights education and governance as two important sectors. In light of this, the Action builds on the objectives of these two sectors with emphasis on education. ",Aug-15,Aug-17,5. Social & Human Capital,Education,,EU,EU,ADRA DEUTSCHLAND EV,NGOs,6666667,2222222,2222222,1555556,6000000,,Significant,Significant,Significant,,0.25,0.25,0.25,,0.25,,,,0,555556,555556,555556,0,555556,0,0,0,0,555556,555556,555556,0,555556,0,0,0,0,388889,388889,388889,0,388889,0,0,0
Somali Youth Leaders Initiative (SYLI),This program seeks to:   Improve enrollment and academic performance of students in secondary schools - Increase access to secondary education through construction and rehabilitation of schools - Enhance quality of secondary education through trainings for current and future teachers - Improve Ministries of Education and local communities’ management of secondary education - Increase opportunities for youth to contribute productively to society,Sep-11,Sep-16,5. Social & Human Capital,Education,,USA,USA,Mercy Corps,NGOs,38000000,7600000,7600000,0,15200000,,Significant,Significant,NA – not screened ,,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,7600000,0,0,0,0,0,0,0,0,7600000,0,0,0,0,0,0,0,0,0
Support to Somali National University,"Complementing the other projects in support of the Somali National Univrsity, this project aims at strngthening academic activities in 6 faculties and engage Somali academia in the international scientific community.",Oct-16,Sep-18,5. Social & Human Capital,Education,,Italy,Italy,UNIVERSITY ROMA 3,Academic / Research Institutions,2222222,0,1055556,1166667,2222223,,Not targeted,Principal,Not targeted,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1055556,0,0,0,0,0,0,0,0,1166667,0,0,0,0,0,0,0,0
Health and Education Sector Development through Skills and Knowledge Transfer by Somali Diaspora Professionals,"The overall objective of this project is to contribute to stabilization in South Central Somalia through increasing access to basic services (health and education) and creating employment opportunities for the youth. In pursuit of this objective, IOM will initiate 60 diaspora expert assignments out of which 30 diaspora experts will work in the health sector and 30 will be engaged in the education sector. ",Mar-15,Feb-19,5. Social & Human Capital,Education,Diaspora engagement / Capacity development,IOM,"Government of Finland, Ministry of Foreign Affairs ",IOM,UN,3753416,137514,1136447,1144364,2418325,http://www.quests-mida.org/ ,Significant,Principal,Principal,0.4,,,,0.3,,0.3,,,55005.46,0,0,0,41254,0,41254,0,0,454579,0,0,0,340934,0,340934,0,0,457746,0,0,0,343309,0,343309,0,0
JPLG - 7 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,5. Social & Human Capital,Education,Decentralized service delivery modeling in Education,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,318599,326103,309928,954630,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,19434.50879,14337,19435,5416,17842,108961,21665,111509,0,19892,14675,19892,5544,18262,111527,22175,114136,0,18906,13947,18906,5269,17356,105995,21075,108475,0
